Id,att1,att2,att3,att4,att5,att6,att7,att8,att9,att10,att11,att12,att13,att14,att15,att16,att17,att18,att19,att20,att21,att22,att23,att24,att25,att26,msd_track_id
1178,30.89,5.633,3.346,2.979,1.981,1.753,1.697,1.441,1.373,1.302,1.505,1.482,1.162,-111.2,2.978,-3.557,-3.786,0.2635,-1.744,1.99,0.7717,0.8974,-0.7061,-2.014,-0.6664,0.03182,TRUSXKK12903CEA9B5
1179,44.03,4.12,3.979,3.222,2.27,2.667,2.252,1.923,1.768,1.895,1.673,1.565,1.552,-92.84,6.253,1.249,1.876,0.7633,2.046,0.8534,1.387,-0.6263,2.034,-1.509,0.4739,-0.3717,TRGONUW128F4272751
1180,33.53,3.674,4.326,2.3,2.184,2.052,1.869,1.629,1.639,1.626,1.58,1.301,1.196,-124.6,9.489,-2.624,5.196,-0.3112,-0.2496,-0.331,0.3709,-1.271,1.201,-0.569,1.009,-0.3427,TRFWDEE12903CAEDC8
1181,45.97,7.865,5.092,4.401,4.076,3.31,3.021,2.369,2.141,2.332,2.048,1.885,1.691,-114.6,11.4,5.083,3.598,0.795,1.939,-2.016,1.215,-0.8631,0.9236,0.04418,-0.2246,0.1842,TRQBOWD12903CCE91D
1182,50.17,5.396,5.288,3.97,2.72,2.345,2.634,1.878,1.677,1.791,1.81,1.567,1.535,-129.3,9.772,0.7143,3.719,3.576,0.9746,0.7202,0.44,0.4429,0.5297,0.5262,0.006979,-0.431,TRKJBVV128F93348EA
1183,43.77,4.117,3.479,2.445,2.126,2.226,1.801,1.805,1.555,1.569,1.365,1.34,1.259,-88.28,7.572,-2.925,7.075,-1.648,2.007,-1.506,2.789,-0.4698,1.711,-1.008,1.567,-1.046,TRPGKDW128F427DB05
1184,60.87,7.517,5.615,4.636,3.92,3.344,3.21,2.627,2.629,2.572,2.211,1.965,1.772,-117.7,12.33,0.3985,6.881,-2.856,3.236,-2.681,2.976,-1.434,2.27,-1.316,0.8596,-0.6439,TRWHCCQ128F42515E4
1185,52.82,5.726,4.319,3.054,2.677,1.815,1.816,1.936,1.759,1.716,1.633,1.63,1.496,-119.7,16.55,-1.329,3.775,0.9113,1.299,-1.754,0.998,-0.1388,0.1492,-0.9926,0.7067,0.09679,TRLTJTT128F9342827
1186,47.06,6.446,4.447,3.782,2.199,2.049,2.07,1.682,1.625,1.6,1.388,1.466,1.47,-164.7,19.96,5.696,2.166,-1.616,1.772,-1.39,-0.02943,-1.468,1.894,-0.7875,0.9264,-0.7327,TRGRWRO128F4281F11
1187,40.18,5.866,7.073,4.271,2.967,2.707,2.211,2.358,1.786,1.718,1.734,1.621,1.346,-109.6,0.6407,6.667,3.561,-0.6447,3.776,0.986,0.8058,0.5278,1.335,1.323,1.222,0.4783,TRZZIIT12903CADECC
1188,37.75,5.954,5.826,3.674,2.805,3.005,2.169,2.458,2.648,2.195,2.039,2.071,1.83,-108.8,11.98,-2.855,2.146,-1.231,1.67,0.8071,-0.2768,0.6398,-0.7907,-1.271,-0.2364,-0.5048,TREBSXE12903CF20E5
1189,40.29,7.067,5.603,3.908,3.182,3.04,2.422,2.419,2.272,1.951,2.076,1.71,1.687,-103.0,3.474,4.998,1.377,1.022,-0.8321,0.662,0.9831,-0.4487,1.216,-0.5432,-0.4354,0.1888,TRLUCQX128F428C72E
1190,32.05,4.693,4.71,3.152,2.338,2.167,1.999,1.69,1.496,1.49,1.436,1.465,1.455,-109.1,10.69,-2.307,3.365,-1.798,2.603,-0.2975,0.8807,-0.2613,1.934,-0.6082,0.2403,-1.197,TRFVWAD128F14962AD
1191,55.41,6.412,4.533,3.472,2.414,2.529,1.83,1.904,1.967,1.863,1.827,1.591,1.419,-110.6,12.46,1.643,-0.7925,0.8405,-0.693,0.08204,-0.3079,-1.014,-0.3754,-0.64,0.01237,-0.588,TRHOWDW128F42843CF
1192,42.59,8.213,6.793,4.481,4.395,3.115,2.777,2.311,2.288,2.298,2.279,1.755,1.536,-123.5,10.35,5.209,3.52,0.5245,1.077,-0.1713,0.6713,-0.1566,1.412,0.3623,0.2185,0.4607,TRDMKPF12903CBD175
1193,43.12,5.264,3.373,2.501,2.521,2.25,1.993,1.83,1.817,1.732,1.657,1.601,1.482,-106.9,2.62,-2.323,2.302,-2.614,1.02,-0.8349,1.348,-0.5544,0.9344,-0.7804,0.4413,-0.9897,TRSRFII128F42797FD
1194,38.89,5.486,3.607,2.886,2.406,1.958,2.049,1.62,1.506,1.579,1.526,1.384,1.27,-93.95,9.632,1.963,3.365,-0.5641,0.9542,-1.44,0.8847,-0.3548,0.898,-0.2982,0.466,-0.4337,TRSRBTU128F9326CC2
1195,32.89,5.928,4.39,3.4,2.967,2.849,2.218,2.007,2.167,1.963,1.657,1.665,1.561,-114.3,11.88,-3.546,8.554,-1.101,1.684,-1.864,1.699,-1.669,1.658,-1.374,0.757,-0.6984,TRHKHBE128E0790B0D
1196,39.22,6.315,4.506,3.659,3.576,2.981,2.629,2.234,2.043,1.808,1.794,1.581,1.485,-105.3,12.54,-2.176,2.163,1.591,-0.2235,-1.609,1.495,-1.227,0.8019,0.0904,0.5332,-0.467,TRSKYVN12903CB048B
1197,44.61,6.275,4.54,4.446,3.62,2.539,2.4,2.193,2.351,1.792,2.083,1.86,1.954,-123.6,5.212,-4.158,-0.1805,-2.871,-0.544,-1.835,-0.6748,-1.139,0.9291,-1.579,0.5034,-0.1241,TRJRTPJ12903CCC872
1198,36.79,5.446,4.754,3.25,2.855,2.953,2.047,1.976,1.818,1.873,1.633,1.653,1.417,-104.5,8.974,1.822,3.183,-0.4217,1.314,-0.3973,1.147,0.4121,1.056,-0.4546,0.7113,-0.4674,TRMJRUG12903CB81E3
1199,34.5,5.102,4.969,3.231,2.984,1.994,2.334,1.583,1.733,1.632,1.559,1.336,1.22,-104.0,3.691,3.135,4.213,2.607,0.4505,0.0437,1.088,0.8615,0.3915,0.267,0.04543,0.1633,TRQTGQG128F92DA8A9
1200,56.76,4.819,3.46,2.304,2.453,2.511,1.756,1.864,2.065,2.064,1.606,1.458,1.459,-115.8,9.449,2.09,3.526,1.312,-0.3289,-0.2533,0.4793,-0.8602,0.8521,-0.3499,-0.1078,-0.01218,TRDTLET128F93035C1
1201,51.14,3.787,3.453,3.016,2.949,2.594,2.463,2.015,2.203,1.96,1.61,1.597,1.458,-134.3,20.28,1.51,-3.23,-1.04,0.2897,-1.24,1.622,-2.397,1.957,-1.618,0.3954,-0.3686,TRCDKHP128F92E9CC5
1202,48.27,4.083,3.425,2.656,2.848,2.205,2.262,1.792,1.686,2.0,1.882,1.577,1.466,-101.6,6.234,1.742,1.275,1.461,-0.7517,0.2708,0.06723,0.5623,1.627,0.009573,-0.02891,0.5652,TRAUFLO12903CCE816
1203,57.92,4.606,3.666,2.942,2.641,2.246,2.054,1.704,1.754,1.601,1.5,1.347,1.31,-99.59,8.495,-1.076,2.386,-0.6257,2.255,-1.187,2.445,-1.971,0.6498,-1.035,0.5965,-1.009,TRCUAKD128EF34293E
1204,34.24,4.21,3.204,2.403,1.957,1.96,1.935,1.93,1.814,1.662,1.566,1.532,1.462,-129.0,25.43,0.0813,4.017,-1.305,1.534,-1.408,1.281,-2.712,1.815,-1.906,1.119,-1.109,TREGJXC128F428BBA1
1205,53.27,4.391,4.516,2.935,2.641,2.596,2.167,1.823,1.774,1.805,1.55,1.518,1.267,-102.9,10.25,-1.331,4.72,-0.2487,2.89,-1.415,-0.3034,-0.6048,1.337,-0.6073,0.2625,-1.005,TRMDPFW128F92F8AED
1206,35.1,6.389,4.985,3.422,2.604,2.881,2.553,2.196,2.107,1.904,1.727,1.612,1.511,-107.7,11.15,-0.9472,4.958,-0.3872,2.528,-0.7693,1.52,0.02249,0.8865,-0.2781,0.384,-0.376,TRJHCWQ12903CF719E
1207,54.14,4.609,3.841,2.71,2.334,2.092,2.074,1.876,1.783,1.664,1.508,1.553,1.292,-87.12,3.396,0.1028,1.798,0.6962,1.187,-0.261,1.216,0.8427,0.6282,-0.07859,-0.2229,0.2836,TRAWJGA128F42AE445
1208,61.61,6.324,6.138,4.128,3.443,3.678,2.676,3.233,2.974,2.325,2.133,2.032,2.223,-117.2,13.05,0.01713,4.946,0.6797,-0.7607,1.741,-1.211,-0.2371,1.17,-1.228,0.8348,-1.67,TRJHWTF128F146E955
1209,53.92,4.694,2.818,2.809,2.245,1.966,1.821,1.593,1.616,1.724,1.555,1.57,1.407,-102.4,12.53,1.653,2.154,0.446,0.4418,0.7959,0.3651,0.4188,0.8237,0.3687,-0.8196,-0.5214,TRBMDJE128F930EAD9
1210,57.76,7.737,4.625,3.375,2.497,2.668,2.696,2.151,2.123,1.963,1.848,2.083,1.701,-180.1,22.16,8.104,-0.476,1.069,0.751,0.2027,-0.03595,-0.03585,0.7465,0.06266,-0.08688,-0.1994,TRRQXZG128F4291323
1211,56.83,5.011,6.204,3.432,3.168,2.721,3.775,2.21,2.206,2.071,2.272,1.7,1.475,-122.8,9.277,1.692,2.061,-0.5986,-0.9608,1.752,0.241,-0.474,1.29,-0.6324,-0.8627,0.1011,TRFPHDI128F93095B5
1212,34.97,9.044,6.352,4.354,3.986,4.218,2.626,2.31,2.256,2.358,2.009,1.792,1.562,-128.4,1.036,-0.8625,6.499,-0.727,-0.5183,-0.8405,1.555,-0.9456,2.176,-0.5174,0.4039,-1.247,TRRWBGA128E078E7AA
1213,52.43,5.726,4.441,4.168,2.967,2.636,2.733,2.237,1.903,1.787,1.962,1.705,1.473,-132.3,5.613,1.529,8.779,-2.635,4.05,-2.602,-0.1251,-1.541,1.501,-0.3155,-1.569,-1.281,TRMRRSF128F42565FE
1214,44.57,5.621,3.186,2.445,2.376,2.11,2.061,1.666,1.6,1.683,1.651,1.764,1.473,-113.4,13.88,1.001,3.152,-0.4069,0.9848,-1.954,1.261,-0.4859,0.4571,-0.6432,0.3329,-0.869,TRNZMUY12903CE1022
1215,54.18,6.166,5.332,4.082,3.38,2.745,2.98,1.931,1.911,2.007,1.64,1.57,1.465,-112.9,5.949,2.735,5.635,2.328,1.73,-0.1287,1.069,1.038,0.5072,0.1566,0.4787,-0.08977,TRXIAKC128F4279D15
1216,59.81,5.736,5.175,3.918,3.21,3.096,2.79,2.395,2.073,2.152,1.897,1.954,1.531,-108.4,5.721,2.571,4.085,2.356,-0.7165,0.4214,0.7554,-0.1414,0.8152,-0.4904,0.3006,0.4295,TRKXXFR128F4263C54
1217,60.97,4.606,5.003,4.186,2.74,2.262,1.962,1.874,1.718,1.515,1.391,1.451,1.594,-107.3,7.255,-2.993,11.31,0.6554,3.008,-0.9811,1.557,0.1143,1.285,-1.014,0.7007,-1.047,TRMHIGQ128F42414CC
1218,58.37,6.075,5.385,3.896,2.954,2.774,2.598,2.174,1.832,1.791,1.98,1.598,1.52,-106.0,6.204,3.184,4.83,-1.886,0.5212,1.026,-0.00864,0.4094,0.749,0.3024,-0.4334,0.3979,TRPPIIO128F426622B
1219,39.27,4.764,4.839,3.371,2.781,2.598,2.487,2.108,2.005,2.186,1.757,1.551,1.599,-130.4,19.41,-8.332,5.933,-2.638,2.08,-0.7636,0.3268,-2.188,1.802,-2.304,0.1378,-0.9574,TRJRISE128F429B117
1220,32.46,5.567,5.39,4.229,3.347,2.739,2.54,2.029,1.928,1.858,1.661,1.513,1.32,-111.9,3.706,-1.591,5.754,-1.929,0.1933,-1.595,1.807,-0.8281,1.034,0.3072,0.1881,-0.3969,TRIFFVL128F930FD50
1221,52.39,4.271,3.369,2.148,1.8,1.774,1.705,1.636,1.643,1.712,1.57,1.463,1.26,-102.1,8.401,-0.2818,5.221,1.019,2.605,-0.334,0.7857,-0.1562,0.218,-0.9199,0.7081,-0.2639,TRUAYXP128F92F2277
1222,36.81,4.014,3.268,3.294,2.646,2.332,1.827,1.837,1.737,1.783,1.717,1.594,1.63,-152.8,40.03,-10.85,3.71,-2.054,-1.279,-1.515,1.198,-1.467,0.8702,-0.934,-0.04453,-0.444,TRLOOSZ128F9330686
1223,44.39,7.288,4.136,2.971,2.451,2.439,2.379,2.218,2.443,2.033,2.155,1.817,1.573,-130.6,16.47,-2.448,5.469,-1.571,3.445,-1.401,1.621,-3.696,1.197,-2.114,1.432,-1.11,TRCENWP128F42648D2
1224,37.5,4.428,2.929,2.673,2.069,2.038,2.281,1.784,1.777,1.851,1.47,1.39,1.288,-109.9,14.65,0.737,3.111,1.258,1.412,-0.8383,1.201,-1.423,1.245,-1.183,0.1651,-0.1945,TRKRQWM12903CCC243
1225,54.39,7.216,5.869,4.002,2.804,2.464,2.527,1.972,2.02,1.711,1.555,1.439,1.488,-105.2,8.439,1.396,3.675,1.273,3.445,0.3523,1.737,-0.05656,1.505,-0.3534,0.614,-0.9768,TRFYOSK128F42841AC
1226,46.74,9.889,3.23,2.296,2.413,2.047,2.46,2.479,2.305,1.749,1.817,1.858,1.351,-190.1,27.96,-1.036,3.253,0.05405,-0.1848,-2.895,-0.95,-1.888,0.7114,-1.187,0.1397,-0.6541,TRSSUHK128F9330960
1227,47.4,5.018,4.011,3.302,3.023,2.27,2.613,2.008,2.664,2.69,1.961,1.748,1.195,-118.0,14.89,-3.039,4.44,-4.238,0.8483,-3.047,0.8486,1.148,-1.462,-1.852,-0.3498,-0.1901,TRDFZYB12903CB14F5
1228,40.24,7.08,2.971,2.433,2.298,1.781,1.746,1.601,1.595,1.654,1.503,1.624,1.385,-108.2,12.83,-2.842,2.211,-1.203,0.4049,-0.6933,-0.01275,-0.5562,0.1196,-0.9073,-0.6942,-0.273,TRQUVVT128F92F7ECB
1229,40.02,6.538,5.466,3.896,2.978,2.801,2.763,1.959,2.051,1.886,1.728,1.588,1.461,-110.0,12.28,5.174,3.169,0.3387,1.512,-1.146,1.075,-0.829,0.8712,-0.2129,0.4261,-0.4169,TRYNBZD128F934CEDA
1230,38.5,6.396,4.812,3.597,3.21,2.529,2.395,2.064,2.043,1.841,1.774,1.732,1.552,-127.0,16.71,1.856,5.97,-0.9004,0.7037,-0.7266,0.7239,-1.491,0.3126,-0.8592,0.6374,-0.7663,TRCERKM128F92FA753
1231,43.73,5.857,4.251,2.991,2.359,2.278,2.234,1.875,1.692,1.907,1.656,1.493,1.365,-102.3,11.22,1.829,4.193,0.1424,1.742,-1.916,1.015,-1.471,1.144,-1.386,0.5116,-0.946,TRJXCVT128F422BD9F
1232,37.55,3.297,4.035,2.286,2.134,1.978,1.922,1.609,1.697,1.656,1.588,1.418,1.391,-101.3,13.76,-3.252,3.711,1.438,0.692,-0.5833,0.8339,-0.7199,1.338,-0.4794,0.2074,-0.1074,TREWJLY128F9337C6F
1233,42.4,6.948,4.235,3.048,2.338,2.292,2.074,2.016,1.949,2.315,1.938,1.628,1.621,-119.7,10.38,0.971,2.789,0.3515,2.914,-0.7348,2.105,-0.8748,1.243,-1.338,0.5913,-0.8338,TRYEXCA128F1491A75
1234,43.48,6.395,4.313,3.859,2.856,2.464,2.465,2.001,2.193,1.838,1.761,1.644,1.45,-115.1,14.41,-2.536,3.759,-0.8691,2.446,-1.145,2.321,-1.04,1.22,-0.5594,1.4,-0.5275,TRPFWPU128F930C52D
1235,33.35,6.025,3.791,2.893,2.478,2.333,2.013,1.684,1.734,1.777,1.559,1.464,1.308,-113.8,10.26,2.038,4.317,0.07501,1.271,-1.944,-0.09736,-0.8335,0.74,-1.823,0.05109,-0.7942,TRZQORV128F428BF52
1236,56.48,7.616,3.915,2.7,2.193,2.152,1.942,1.735,1.626,1.664,1.639,1.583,1.351,-154.7,17.17,4.851,2.847,-0.5732,-0.664,0.2262,0.3552,0.6814,-0.1946,0.3483,0.4542,-0.03642,TRLKYDT128F42B1109
1237,28.66,6.501,4.78,3.657,2.661,2.478,2.106,1.767,1.828,1.742,1.577,1.774,1.485,-110.8,16.63,3.967,4.87,-1.672,1.595,-1.475,0.9842,-0.7479,0.8252,-1.358,0.6304,-1.252,TRSRITP128F1472B99
1238,50.54,5.794,3.757,2.939,2.839,2.097,2.058,1.551,1.633,1.708,1.621,1.45,1.373,-160.1,13.4,7.789,4.319,2.695,0.9572,-0.4455,0.1327,-0.4136,0.08859,-0.2827,-0.4605,-0.07821,TRQMQJC128F4275FA4
1239,54.99,4.021,5.384,3.435,2.736,1.911,1.876,1.886,1.505,1.824,1.674,1.754,1.595,-166.7,38.12,-7.493,2.161,-0.022,0.8222,-2.56,0.1858,-2.494,0.2723,-1.895,-0.2305,-0.9292,TRRKFZC128F42764B5
1240,30.59,4.003,3.329,3.103,3.202,1.998,2.64,1.804,1.592,1.535,1.643,1.443,1.353,-136.4,19.04,3.037,-0.7178,-0.7882,-1.444,0.5942,-1.442,-2.568,-0.1727,0.1458,-0.4014,-0.19,TRKVUTQ128F9344E3C
1241,78.7,9.509,6.92,5.053,4.671,3.748,2.796,3.096,2.325,2.242,2.185,1.766,1.758,-173.4,8.349,2.22,2.386,1.172,-0.73,-0.1512,-1.101,-0.1718,0.291,-0.414,-0.1647,-0.4359,TRHTOTQ128F426FFBB
1242,44.99,3.656,2.908,2.92,2.532,2.388,2.205,1.842,1.652,1.725,1.567,1.46,1.413,-100.1,10.47,-1.59,2.295,-0.547,1.023,1.482,0.1257,-0.03786,0.03761,0.2911,0.4971,-0.5314,TRQDZJQ128F93136F9
1243,49.93,8.345,5.514,4.578,3.713,2.789,2.66,2.408,2.478,2.305,2.305,1.769,1.705,-110.3,8.249,-0.2727,1.377,1.123,2.023,-2.283,1.349,-0.6504,2.922,-1.404,0.9518,-0.6879,TRVABBK128F425FDBE
1244,63.23,6.516,5.327,5.683,3.595,2.777,2.532,2.182,2.142,2.29,1.926,1.858,1.531,-125.7,11.59,-4.337,8.575,-2.419,-0.6498,-1.493,0.2417,-1.459,0.859,-1.392,-0.35,-0.8274,TRTURBW128E07962D0
1245,38.6,4.955,4.134,3.71,2.578,2.631,2.291,1.991,1.899,1.944,1.563,1.595,1.638,-115.2,13.42,0.3986,3.601,-2.643,-0.6669,-1.164,-0.2547,-1.635,0.9208,-1.302,-0.2816,-0.8406,TRIGTSK12903C95685
1246,54.15,5.063,4.072,3.135,2.811,2.248,2.389,1.98,1.652,1.764,1.703,1.533,1.434,-106.3,8.654,-2.255,1.599,-1.82,0.5904,0.08885,0.321,0.291,0.9208,0.4741,-0.2102,-0.7846,TRQHAEA128F92FB949
1247,34.96,3.87,3.549,2.73,2.28,1.968,1.706,1.815,1.669,1.52,1.379,1.332,1.26,-98.08,8.341,0.897,3.747,2.634,0.3754,-1.402,1.248,0.908,1.398,-0.2936,0.06245,-0.4222,TRYUCEK128F933C1F1
1248,26.87,4.309,2.89,2.218,1.963,1.941,1.807,1.774,1.529,1.521,1.431,1.362,1.222,-109.8,12.84,-0.0653,2.54,-1.667,2.684,-1.968,0.6587,-1.677,1.477,-0.8895,0.8928,-0.7953,TRPKEOQ128F149A300
1249,38.7,6.275,3.342,2.572,2.362,2.246,1.843,1.618,1.559,1.554,1.564,1.396,1.287,-133.3,13.45,3.263,5.425,1.257,3.779,0.5251,1.274,-0.3739,0.2504,-0.6285,-0.1548,-0.7851,TRKNPXH12903CC832A
1250,41.66,6.351,5.994,4.861,4.136,3.84,3.225,2.517,2.191,2.15,1.843,1.746,1.533,-111.1,6.498,-0.8483,4.234,0.7682,-1.518,0.725,2.141,-0.8766,1.397,-0.1809,0.3873,-0.2413,TRGNCDJ128F42838F9
1251,38.44,4.943,4.799,3.429,2.858,2.024,1.849,1.578,1.594,1.698,2.018,1.754,1.644,-133.5,12.24,3.753,1.863,-0.7926,2.214,-0.6581,0.6168,-1.145,1.272,0.1263,0.9743,-0.4353,TRYANPF128F4280FB4
1252,46.35,5.315,3.545,2.856,3.155,2.287,2.301,1.789,1.662,2.101,1.909,1.451,1.437,-104.6,12.15,-0.7463,1.31,1.553,-0.154,-0.5449,0.3588,-0.8849,0.1546,0.6078,-0.2218,0.1474,TRZLDDS12903CC4922
1253,40.09,5.172,4.292,3.157,2.766,2.285,2.705,1.893,2.028,2.001,1.766,1.537,1.48,-96.14,5.629,0.9175,3.963,-0.378,1.928,-0.1927,2.888,0.2302,1.952,0.08565,0.8035,-0.5162,TRSJHTZ128F4252CDC
1254,47.98,4.206,4.187,4.676,3.153,3.452,2.979,2.315,2.122,2.289,1.822,1.918,1.403,-127.7,8.548,-0.8322,7.713,-2.003,2.207,-0.2678,1.315,-0.9169,2.521,-1.711,0.7383,-0.8098,TRQBSSC128F4254F7E
1255,61.63,8.92,6.019,2.786,2.466,2.592,1.916,1.48,1.657,1.677,1.354,1.41,1.228,-177.7,17.9,1.926,0.3593,1.224,0.2755,-1.219,0.4033,-0.6156,0.4179,0.7255,0.843,0.258,TRQQRWX128F42A0A2D
1256,43.83,4.564,3.851,3.404,2.611,2.487,2.326,1.862,1.895,1.717,1.653,1.494,1.421,-96.91,4.797,-2.376,4.954,-0.2569,2.213,-0.2465,1.756,-0.2972,1.402,-0.05776,0.6835,-0.3038,TRGAIWW128F9337649
1257,42.59,4.072,2.828,2.405,2.176,1.933,1.881,1.602,1.572,1.476,1.413,1.335,1.239,-99.26,7.941,3.348,2.724,0.3717,0.3212,-0.603,1.924,-0.5781,1.429,-0.6625,0.4846,0.5801,TRZOJZV128F9354A5E
1258,42.72,5.1,5.092,3.815,3.779,2.669,2.219,2.34,1.983,1.985,1.962,1.728,1.544,-143.9,25.38,2.395,5.028,-1.44,-0.06889,-2.208,-0.6888,-0.6885,-0.1263,-1.369,1.124,-1.26,TRTWXWH12903CFD2A7
1259,52.26,5.572,5.086,7.113,4.386,4.379,2.928,3.245,2.136,2.771,1.701,3.194,2.343,-112.0,9.305,-4.964,4.523,-2.156,0.2711,-2.329,1.447,-2.507,1.588,-0.6122,1.203,-1.622,TROLNHL128F42A4C66
1260,58.66,6.672,6.333,4.314,3.855,3.082,2.728,2.62,2.335,2.237,2.299,1.72,1.728,-111.7,6.535,0.5428,1.521,-0.1308,-0.7734,0.5741,-1.305,-0.5986,0.6549,0.6656,-0.9546,-0.5511,TRGNVJP128F4289253
1261,35.09,4.817,4.124,3.189,3.124,2.886,2.279,2.172,2.135,2.111,1.565,1.84,1.547,-128.2,14.28,-4.394,6.602,-1.9,0.8733,-1.11,0.9893,-1.58,1.39,-1.674,0.4916,-0.803,TROFGTO128F145AC75
1262,41.07,5.0,4.446,3.851,3.209,2.084,2.103,1.748,1.916,1.596,1.903,1.625,1.489,-97.43,8.632,3.529,5.634,0.6382,0.01424,-1.965,0.6885,-1.187,0.4999,-0.92,-0.6525,0.002158,TRPNWUT128F42775FE
1263,35.33,3.854,3.741,2.639,2.873,2.477,2.155,1.871,2.061,1.745,1.745,1.64,1.416,-133.3,28.95,-13.84,6.4,-4.948,-2.752,-0.9374,-0.1222,-2.139,1.388,-0.9108,-0.712,-1.243,TROMRMV128F42973E0
1264,62.05,5.546,4.257,3.418,2.225,2.23,2.027,1.74,1.714,1.842,1.48,1.528,1.405,-108.4,6.846,1.592,4.684,-0.5434,2.971,-1.231,2.858,-1.231,1.311,-1.327,0.4531,-1.236,TRZCXZS128F14557FA
1265,47.98,3.698,3.865,2.585,2.128,2.007,2.114,1.833,1.587,1.82,1.619,1.457,1.266,-105.5,10.86,-0.146,4.118,-0.8112,0.5453,-1.442,0.7086,-1.343,1.385,-1.408,0.3755,-0.9881,TRQWVBS128F429D154
1266,60.91,7.283,3.452,2.462,2.573,2.385,2.307,1.95,2.383,1.905,2.04,2.107,1.51,-132.8,19.22,-1.831,3.359,-1.515,0.095,-2.227,0.4595,-1.234,1.121,-0.6415,0.9523,-0.1995,TRTOSCQ128E0798C9B
1267,52.69,5.306,6.968,4.064,2.961,2.903,2.475,2.229,2.35,2.157,1.919,1.859,1.567,-148.0,22.12,-5.131,6.355,-2.496,1.83,-1.401,1.787,-1.139,1.88,-0.5393,0.9252,-1.044,TROVSPL128F426BA04
1268,34.3,3.642,3.018,3.824,2.236,1.786,2.024,1.645,1.742,1.518,1.498,1.441,1.206,-84.86,5.379,-2.217,6.712,-0.42,-1.839,-0.6529,0.642,0.9244,1.448,-0.1082,0.9748,-0.7266,TRVSEUM128F9308660
1269,40.28,3.376,3.739,2.341,2.049,1.985,1.946,1.645,1.664,1.599,1.588,1.403,1.277,-88.79,7.455,1.216,4.371,-0.2448,1.588,-2.122,1.529,-0.4364,1.129,-0.4328,0.3293,-1.071,TRFZKLR128F425C7BE
1270,35.84,7.54,5.241,3.765,2.97,2.706,2.429,1.983,1.864,1.88,1.87,1.726,1.608,-115.9,9.664,0.9075,6.841,1.834,0.2562,0.4056,2.457,-0.1261,1.351,-0.1273,0.8941,0.1524,TROOYWM128F9344EA5
1271,44.92,5.882,4.526,3.162,2.658,2.688,2.505,1.879,1.743,1.786,1.722,1.475,1.467,-94.84,10.65,2.034,3.74,-0.003814,1.385,-0.8815,0.8205,-0.937,0.1773,-0.3862,0.03568,-0.01211,TRZBUKU12903CC45A2
1272,41.24,7.481,3.495,3.038,2.42,2.342,2.318,1.985,1.763,1.803,1.596,1.655,1.774,-159.8,7.316,8.542,5.054,-0.3038,-0.552,-1.178,-1.463,0.1223,-0.5021,-0.366,-0.7593,-0.3976,TRAVXSH128F932849D
1273,39.08,8.942,5.942,3.98,3.01,2.26,2.427,1.859,1.882,1.765,1.881,1.885,1.772,-106.0,8.647,0.9498,3.176,1.484,1.583,-0.3296,1.846,-0.813,1.165,0.07061,-0.07316,-0.7281,TRXQEQP128F932D335
1274,33.24,5.749,4.331,3.454,2.551,2.539,2.334,1.936,2.129,2.18,1.825,1.788,1.5,-102.1,15.65,0.2769,4.315,0.3282,1.247,-1.96,1.824,-1.992,1.617,-1.67,0.1514,-0.6813,TRWSMVK128F42956CA
1275,40.18,5.532,4.46,2.707,2.497,2.237,2.573,2.407,1.757,1.641,1.714,1.46,1.468,-105.5,18.37,-3.534,4.048,1.032,0.7199,0.4486,-0.1963,-0.6226,1.145,-1.02,0.486,-0.8652,TRVATMO12903CE1380
1276,36.79,6.342,5.522,3.795,2.918,2.821,2.824,2.141,2.572,2.233,1.924,1.966,1.534,-120.1,18.66,-1.769,4.853,-0.897,-0.9472,-0.7729,2.728,-3.243,2.391,-1.088,0.1002,-0.5284,TRJLIMW128F1481AAA
1277,44.09,6.941,4.683,4.424,2.767,3.073,2.742,2.099,1.958,2.041,1.835,1.604,1.388,-119.6,4.134,5.119,4.377,1.29,1.52,-1.465,2.424,-0.5143,1.253,0.3434,0.8781,-0.2165,TRGLNYI12903CD06F7
1278,46.16,5.86,5.414,5.503,5.204,3.959,3.839,4.52,4.971,3.579,2.289,1.87,1.921,-193.7,15.86,-4.796,-3.124,-7.767,-8.331,-4.929,-0.5732,1.981,2.474,-0.1978,-0.1583,-0.2327,TRVJTIN128F9311C88
1279,40.19,9.572,5.302,3.008,2.394,2.091,1.806,1.78,1.584,1.595,1.62,1.449,1.297,-138.3,30.9,-5.097,1.726,0.8788,1.876,-0.7067,1.693,-0.1752,1.004,-0.8178,0.09097,-1.019,TRBKPYD12903CF5DF0
1280,29.29,5.198,4.152,2.495,2.903,2.361,2.533,2.088,2.035,1.672,1.703,1.609,1.474,-102.8,14.26,-0.7403,2.212,1.526,-0.4656,-1.784,0.8538,1.842,0.004727,0.3023,0.2673,0.2659,TRDKNKV128F92DB8B6
1281,54.12,3.941,3.805,3.439,2.565,2.55,2.179,1.887,1.768,1.743,1.618,1.502,1.326,-93.64,4.872,3.335,2.429,0.3924,-0.4587,-0.1618,0.1758,-0.1224,0.4817,-0.1472,-0.4324,-0.108,TRJYDVL128F42AFBE1
1282,48.39,5.25,5.217,3.267,2.994,2.525,2.469,2.005,1.91,1.946,1.731,1.51,1.565,-119.8,8.343,2.803,5.53,-0.8576,1.446,-0.5785,3.223,0.2477,2.06,-0.8096,1.15,-0.5459,TRDWKQQ128F429C1CB
